ID,UTM,EASTING,NORTHING,WATERSHED,TYPE,ZONE
S02,15T,464576,5262551,S2,Existing,Upland
S03,15T,464630,5262547,S2,Existing,Upland
S11,15T,464513,5262483,S2,Existing,Lagg
S12,15T,464571,5262491,S2,Existing,Lagg
S13,15T,464635,5262487,S2,Existing,Bog
S14,15T,464697,5262483,S2,Existing,Upland
S15,15T,464756,5262480,S2,Existing,Upland
S20,15T,464454,5262423,S2,Existing,Upland
S21,15T,464525,5262418,S2,Existing,Bog
S22,15T,464573,5262436,S2,Existing,Bog
S23,15T,464635,5262421,S2,Existing,Bog
S24,15T,464698,5262427,S2,Existing,Lagg
S25,15T,464755,5262424,S2,Existing,Lagg
S26,15T,464816,5262425,S2,Existing,Upland
S32,15T,464574,5262363,S2,Existing,Lagg
S33,15T,464634,5262367,S2,Existing,Bog
S34,15T,464697,5262362,S2,Existing,Bog
S35,15T,464758,5262367,S2,Existing,Lagg
S36,15T,464819,5262358,S2,Existing,Upland
S43,15T,464633,5262304,S2,Existing,Upland
S44,15T,464692,5262308,S2,Existing,Upland
S45,15T,464758,5262299,S2,Existing,Upland
S54,15T,464692,5262241,S2,Existing,Upland
S55,15T,464748,5262240,S2,Existing,Upland
S601,15T,464636,5262985,S6,Existing,Upland
S602,15T,464586,5262973,S6,Existing,Upland
S603,15T,464521,5262976,S6,Existing,Upland
S611,15T,464635,5263028,S6,Existing,Lagg
S612,15T,464572,5263034,S6,Existing,Bog
S613,15T,464514,5263026,S6,Existing,Lagg
S614,15T,464457,5263031,S6,Existing,Upland
S621,15T,464644,5263090,S6,Existing,Upland
S622,15T,464592,5263100,S6,Existing,Lagg
S623,15T,464520,5263092,S6,Existing,Bog
S624,15T,464450,5263102,S6,Existing,Lagg
S625,15T,464396,5263094,S6,Existing,Upland
S631,15T,464636,5263146,S6,Existing,Upland
S632,15T,464578,5263154,S6,Existing,Upland
S633,15T,464514,5263162,S6,Existing,Lagg
S634,15T,464450,5263160,S6,Existing,Bog
S635,15T,464392,5263156,S6,Existing,Lagg
S636,15T,464335,5263151,S6,Existing,Upland
S642,15T,464577,5263222,S6,Existing,Upland
S643,15T,464516,5263223,S6,Existing,Upland
S644,15T,464458,5263225,S6,Existing,Upland
S645,15T,464394,5263235,S6,Existing,Bog
S646,15T,464341,5263220,S6,Existing,Upland
S654,15T,464449,5263285,S6,Existing,Upland
S655,15T,464401,5263278,S6,New,Upland
S00,15T,464471,5262521,S2,New,Upland
S04,15T,464694,5262523,S2,New,Upland
S05,15T,464754,5262527,S2,New,Upland
S46,15T,464809,5262292,S2,New,Upland
S01,15T,464523,5262537,S2,New,Upland
