Watershed,SnowcourseID,Point,LONGITUDE,LATITUDE
Junction,JUNC,1,-93.47467822,47.52359807
Junction,JUNC,10,-93.47616852,47.52498796
Junction,JUNC,2,-93.47484535,47.52374291
Junction,JUNC,3,-93.47501115,47.52386512
Junction,JUNC,4,-93.47518264,47.52403963
Junction,JUNC,5,-93.47536595,47.52424935
Junction,JUNC,6,-93.47552311,47.52439863
Junction,JUNC,7,-93.47568195,47.52453802
Junction,JUNC,8,-93.47582654,47.52468101
Junction,JUNC,9,-93.47597381,47.52482954
S3,PINE,1,-93.46048741,47.53199942
S3,PINE,10,-93.45793655,47.53105646
S3,PINE,2,-93.46029186,47.53191619
S3,PINE,3,-93.46011341,47.53181762
S3,PINE,4,-93.45982952,47.53171905
S3,PINE,5,-93.45953758,47.53162601
S3,PINE,6,-93.45915637,47.53149458
S3,PINE,7,-93.45882671,47.53141218
S3,PINE,8,-93.45846511,47.53122233
S3,PINE,9,-93.45816889,47.53113852
S1,S11,1,-93.4549546,47.50513324
S1,S11,10,-93.45433082,47.507465
S1,S11,2,-93.45475075,47.50537774
S1,S11,3,-93.45463626,47.50574571
S1,S11,4,-93.45456895,47.50598702
S1,S11,5,-93.45443878,47.50630428
S1,S11,6,-93.45438203,47.50654878
S1,S11,7,-93.45435395,47.506759
S1,S11,8,-93.45426963,47.50701322
S1,S11,9,-93.45424734,47.50726401
S2,S21,1,-93.46751388,47.51320786
S2,S21,10,-93.46942529,47.51314911
S2,S21,2,-93.46780993,47.51322287
S2,S21,3,-93.46804915,47.51325489
S2,S21,4,-93.46822567,47.51325355
S2,S21,5,-93.46844712,47.51320476
S2,S21,6,-93.46863655,47.51321809
S2,S21,7,-93.46880955,47.51322295
S2,S21,8,-93.46896303,47.51322832
S2,S21,9,-93.46912128,47.51316805
S2,S22,1,-93.46869497,47.5140531
S2,S22,10,-93.47075021,47.51428611
S2,S22,2,-93.46883353,47.51406927
S2,S22,3,-93.46902706,47.51404815
S2,S22,4,-93.46930643,47.5140531
S2,S22,5,-93.46955982,47.51408654
S2,S22,6,-93.46984497,47.51410146
S2,S22,7,-93.4700147,47.51415552
S2,S22,8,-93.47011026,47.51419073
S2,S22,9,-93.47043438,47.51422585
S2,S23,1,-93.46842155,47.51494744
S2,S23,10,-93.46708221,47.51364976
S2,S23,2,-93.46833589,47.51469733
S2,S23,3,-93.46815375,47.51460219
S2,S23,4,-93.46797002,47.51450949
S2,S23,5,-93.46786139,47.51437773
S2,S23,6,-93.46780691,47.51424814
S2,S23,7,-93.46776207,47.51410246
S2,S23,8,-93.46754338,47.51400733
S2,S23,9,-93.46721247,47.51379829
S5,S51,1,-93.47826458,47.56226513
S5,S51,10,-93.47662625,47.56388594
S5,S51,2,-93.47804665,47.56250561
S5,S51,3,-93.47783149,47.56260334
S5,S51,4,-93.47764994,47.56277282
S5,S51,5,-93.47736126,47.56298329
S5,S51,6,-93.47724191,47.56316979
S5,S51,7,-93.47703772,47.56337473
S5,S51,8,-93.47683773,47.5636396
S5,S51,9,-93.47678979,47.56378041
S5,S52,1,-93.47230848,47.56349417
S5,S52,10,-93.47244461,47.56102268
S5,S52,2,-93.47239364,47.56313358
S5,S52,3,-93.4723535,47.5628745
S5,S52,4,-93.47239105,47.56262455
S5,S52,5,-93.47239767,47.56230855
S5,S52,6,-93.47239063,47.56205743
S5,S52,7,-93.47237068,47.56171679
S5,S52,8,-93.47245575,47.56148101
S5,S52,9,-93.47237479,47.56118596
S5,S54,1,-93.47628545,47.56159684
S5,S54,10,-93.47502053,47.56296058
S5,S54,2,-93.47602695,47.56180974
S5,S54,3,-93.47595654,47.56196095
S5,S54,4,-93.4757822,47.56210546
S5,S54,5,-93.47558782,47.56222658
S5,S54,6,-93.47552915,47.56233219
S5,S54,7,-93.47536553,47.56258356
S5,S54,8,-93.47531264,47.56274718
S5,S54,9,-93.47520661,47.56281842
